A,p,D_over_Dc,D,s,margin
2,0.02760795396678143,1.0,0.00020156410963079185,2.8091934698575938,0.00010899869187008804
2,0.02760795396678143,1.0,0.00020156410963079185,3.141592653589793,0.00010072111663039784
2,0.038729833462074176,0.15,6.089869053337582e-05,0.15,0.42519917119028605
2,0.038729833462074176,0.15,6.089869053337582e-05,0.48239918373219925,0.42519826905133606
2,0.038729833462074176,0.15,6.089869053337582e-05,0.8147983674643985,0.4251965161325437
2,0.038729833462074176,0.15,6.089869053337582e-05,1.1471975511965977,0.42519410442078587
2,0.038729833462074176,0.15,6.089869053337582e-05,1.4795967349287968,0.4251912978854868
2,0.038729833462074176,0.15,6.089869053337582e-05,1.8119959186609962,0.4251884036481446
2,0.038729833462074176,0.15,6.089869053337582e-05,2.1443951023931955,0.42518573863006726
2,0.038729833462074176,0.15,6.089869053337582e-05,2.4767942861253944,0.4251835946345348
2,0.038729833462074176,0.15,6.089869053337582e-05,2.8091934698575938,0.42518220647773486
